candidate_id,rank,score,reasoning
CAND_0000031,1,0.6500,"Recommendation Systems Engineer with 6.0 years shows moderate fit through evidence in machine learning, nlp, embeddings, retrieval, ranking; open to work, skill duration exceeds stated experience. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000015,2,0.5700,"Software Engineer with 5.4 years shows moderate fit through evidence in machine learning, deep learning, llm, retrieval, vector database; stale activity, open to work. Direct evidence of next.js experience in resume. Missing required skills: react, python, fastapi."
CAND_0000021,3,0.5700,"Project Manager with 14.5 years shows moderate fit through evidence in machine learning, llm, fine tuning, embeddings, retrieval; stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000001,4,0.5600,"Backend Engineer with 6.9 years shows moderate fit through evidence in python, machine learning, nlp, fine tuning, vector database; open to work, low recruiter response rate. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000043,5,0.5600,"Cloud Engineer with 8.3 years shows moderate fit through evidence in machine learning, deep learning, llm, fine tuning, retrieval; stale activity, low recruiter response rate. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000032,6,0.5400,".NET Developer with 8.1 years shows moderate fit through evidence in python, machine learning, llm, embeddings, retrieval; low profile completeness, stale activity. Direct evidence of python experience in resume. Missing required skills: react, next.js, fastapi."
CAND_0000026,7,0.5200,"Graphic Designer with 6.8 years shows moderate fit through evidence in machine learning, llm, backend, mlops, cloud; stale activity, short notice period. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000063,8,0.5200,"Java Developer with 5.4 years shows moderate fit through evidence in machine learning, llm, fine tuning, retrieval, backend; low profile completeness, open to work. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000088,9,0.5200,"Java Developer with 7.6 years shows moderate fit through evidence in machine learning, llm, retrieval, backend, mlops; low profile completeness, stale activity. Direct evidence of fastapi experience in resume. Missing required skills: react, next.js, python."
CAND_0000060,10,0.5100,"Cloud Engineer with 8.0 years shows moderate fit through evidence in machine learning, llm, fine tuning, retrieval, backend; open to work, low recruiter response rate. Direct evidence of fastapi experience in resume. Missing required skills: react, next.js, python."
CAND_0000055,11,0.5100,"Full Stack Developer with 7.3 years shows moderate fit through evidence in python, machine learning, llm, retrieval, backend; behavioral signals reviewed. Direct evidence of next.js experience in resume. Missing required skills: react, python, fastapi."
CAND_0000082,12,0.5100,"Data Analyst with 7.4 years shows moderate fit through evidence in python, machine learning, fine tuning, embeddings, vector database; stale activity, open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000083,13,0.5100,"Graphic Designer with 6.7 years shows moderate fit through evidence in machine learning, llm, fine tuning, retrieval, ranking; behavioral signals reviewed. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000072,14,0.5000,"Frontend Engineer with 7.0 years shows moderate fit through evidence in machine learning, llm, retrieval, backend, mlops; low profile completeness, low recruiter response rate. Direct evidence of react, next.js experience in resume. Missing required skills: python, fastapi."
